Star,BD,Distance,d1,d2,d3,d4,d5,d6,d7,d8
1,-10 5925,4.37,7.2,4,10.6,17.5,18.8,13.7,14.1,16.8
2,-8 5888,4.34,,,,,19.3,-8.7,19.2,16.5
3,-11 5850,5.91,-4.1,7.1,-1.8,8.1,4.8,16.7,20,26.3
4,-11 5851,5.68,2.2,8.2,10.9,10.7,15.2,23.3,10.1,12.4
5,-11 5855,6.52,-3.8,-3.7,-6.9,21.5,11.2,15.3,10.6,26
6,-10 5947,2.12,9.2,3.6,23.4,24.8,13.9,0.8,22.2,28.1
7,-8 5905,6.47,11.4,1.4,16.2,-1.2,8.6,10.3,-8.6,8.7
8,-8 5907,7.14,,,,,-2.5,-9.6,7.5,-9.1
9,-8 5912,7.02,23.2,-5,7,3.3,13,4.6,-2.7,-16.5
10,-10 5961,6.73,15.6,2.3,12,12.4,-15.2,21.8,2.6,12.2
11,-8 5918,8.93,18.1,3.8,6.3,2.1,-8.8,13.3,-6,-11.8
,,,,,,,,,,
E(mm),,,49.2,40.4,44,41.1,57.8,42,59,53.6
E,,,1.68,1.38,1.5,1.4,1.97,1.43,2.01,1.83
