Expedition,Star ID,Distance (Solar Radii),Deflection (arcsec)
1919 (Eddington),SAO 76551,5.47,0.20
1919 (Eddington),SAO 76613,5.30,0.32
1919 (Eddington),SAO 76608,4.38,0.56
1919 (Eddington),SAO 76585,3.30,0.54
1919 (Eddington),SAO 76601,2.33,0.84
1919 (Eddington),SAO 76618,2.06,0.97
1919 (Eddington),SAO 76602,1.99,1.02
1922 (Chant),BD +0 2843,6.31,0.85
1922 (Chant),BD +2 2489,5.88,0.40
1922 (Chant),BD -0 2510,7.63,0.51
1922 (Chant),BD +0 2858,4.31,0.37
1922 (Chant),BD +1 2628,2.06,1.46
1922 (Chant),BD -0 2512,7.72,0.87
1922 (Chant),BD +1 2633,3.53,0.29
1922 (Chant),BD +1 2636,4.16,0.48
1922 (Chant),BD +2 2499,6.50,0.32
1922 (Chant),BD +0 2877,7.34,0.13
1922 (Chant),BD +0 2878,7.34,-0.25
1922 (Chant),BD +0 2880,7.13,-0.21
1922 (Chant),BD +0 2881,7.16,0.23
1922 (Chant),BD +1 2641,7.28,0.03
1922 (Chant),BD +0 2883,7.72,0.35
1922 (Chant),BD +2 2509,9.63,0.11
1929 (Freundlich),SAO 93250,3.25,0.84
1929 (Freundlich),SAO 93270,2.62,0.74
1929 (Freundlich),SAO 93284,1.52,1.30
1929 (Freundlich),BD +17 499,3.20,0.73
1929 (Freundlich),SAO 93290,2.42,0.78
1929 (Freundlich),SAO 93289,2.76,0.83
1929 (Freundlich),SAO 93293,5.06,0.70
1929 (Freundlich),SAO 93308,2.76,0.75
1929 (Freundlich),SAO 93307,2.86,0.88
1929 (Freundlich),SAO 93306,3.53,0.78
1929 (Freundlich),SAO 93314,4.42,0.42
1929 (Freundlich),SAO 93315,4.21,0.54
1929 (Freundlich),HD 19673,5.89,0.51
1929 (Freundlich),HD 19722,4.04,0.48
1929 (Freundlich),SAO 93333,5.08,0.50
1929 (Freundlich),SAO 93335,6.42,0.26
1929 (Freundlich),SAO 93336,7.54,0.42
1929 (Freundlich),SAO 93338,5.89,0.60
1936 (Matukuma),BD +23 1150,6.38,0.401
1936 (Matukuma),BD +24 1033,3.89,0.396
1936 (Matukuma),BD +23 1149,6.07,-0.078
1936 (Matukuma),BD +22 1135,5.89,0.427
1936 (Matukuma),BD +23 1130,3.84,0.414
1936 (Matukuma),BD +24 973,5.15,0.323
1936 (Matukuma),BD +22 1096,3.69,0.563
1936 (Matukuma),BD +23 1152,6.51,0.378
1947 (Biesbroeck),BD +18 521,6.97,0.30
1947 (Biesbroeck),BD +19 579,5.60,0.36
1947 (Biesbroeck),BD +20 616,7.18,0.70
1947 (Biesbroeck),BD +19 581,4.90,0.68
1947 (Biesbroeck),BD +20 618,5.98,0.41
1947 (Biesbroeck),BD +19 582,4.62,0.25
1947 (Biesbroeck),BD +20 620,4.29,0.62
1947 (Biesbroeck),BD +20 622,4.49,0.69
1947 (Biesbroeck),BD +19 586,3.54,0.51
1947 (Biesbroeck),BD +20 624,5.44,0.76
1947 (Biesbroeck),BD +18 537,6.07,0.70
1947 (Biesbroeck),BD +20 629,5.40,-0.43
1947 (Biesbroeck),BD +17 625,6.81,0.37
1947 (Biesbroeck),BD +18 542,5.23,-0.26
1947 (Biesbroeck),BD +20 637,4.97,-0.14
1947 (Biesbroeck),BD +21 528,6.71,-0.02
1947 (Biesbroeck),BD +21 530,7.20,0.44
1947 (Biesbroeck),BD +20 638,4.99,0.46
1947 (Biesbroeck),BD +20 643,4.44,0.68
1947 (Biesbroeck),BD +20 644,3.78,1.33
1947 (Biesbroeck),BD +18 546,3.33,0.57
1947 (Biesbroeck),BD +17 641,7.80,0.41
1947 (Biesbroeck),BD +18 549,5.31,1.08
1947 (Biesbroeck),BD +18 550,6.32,0.31
1947 (Biesbroeck),BD +19 606,3.79,0.05
1947 (Biesbroeck),BD +19 607,3.80,1.12
1947 (Biesbroeck),BD +18 552,6.30,0.43
1947 (Biesbroeck),BD +21 549,7.43,0.51
1947 (Biesbroeck),BD +20 654,5.09,0.75
1947 (Biesbroeck),BD +18 553,6.68,0.10
1947 (Biesbroeck),BD +19 614,5.33,0.93
1947 (Biesbroeck),BD +18 556,6.29,0.38
1947 (Biesbroeck),BD +20 660,6.36,0.11
1947 (Biesbroeck),BD +17 654,8.36,0.31
1947 (Biesbroeck),BD +19 616,5.66,0.47
1947 (Biesbroeck),BD +18 557,7.90,0.18
1947 (Biesbroeck),BD +18 558,6.36,0.02
1947 (Biesbroeck),BD +21 555,9.06,-0.03
1947 (Biesbroeck),BD +20 664,7.12,0.37
1947 (Biesbroeck),BD +18 560,7.28,0.13
1947 (Biesbroeck),BD +19 624,7.01,0.10
1947 (Biesbroeck),BD +18 561,7.75,0.25
1947 (Biesbroeck),BD +19 625,7.25,0.51
1947 (Biesbroeck),BD +21 560,10.19,0.88
1947 (Biesbroeck),BD +18 562,8.00,0.49
1947 (Biesbroeck),BD +20 668,8.85,0.76
1947 (Biesbroeck),BD +20 669,8.92,0.73
1947 (Biesbroeck),BD +19 628,7.64,0.17
1947 (Biesbroeck),BD +20 670,8.00,0.01
1947 (Biesbroeck),BD +21 562,9.77,-0.30
1947 (Biesbroeck),BD +20 672,8.63,0.62
1952 (Biesbroeck),BD -10 5925,4.37,0.44
1952 (Biesbroeck),BD -8 5888,4.34,0.39
1952 (Biesbroeck),BD -11 5850,5.91,0.33
1952 (Biesbroeck),BD -11 5851,5.68,0.40
1952 (Biesbroeck),BD -11 5855,6.52,0.30
1952 (Biesbroeck),BD -10 5947,2.12,0.54
1952 (Biesbroeck),BD -8 5905,6.47,0.20
1952 (Biesbroeck),BD -8 5907,7.14,-0.12
1952 (Biesbroeck),BD -8 5912,7.02,0.11
1952 (Biesbroeck),BD -10 5961,6.73,0.27
1952 (Biesbroeck),BD -8 5918,8.93,0.07
1973 (Jones),SAO 78568,1.9,0.96
1973 (Jones),SAO 78610,2.4,0.37
1973 (Jones),SAO 78604,3.7,0.82
1973 (Jones),SAO 78558,3.9,0.36
1973 (Jones),SAO 78586,4.3,0.54
1973 (Jones),SAO 18572,5.0,0.35
1973 (Jones),SAO 78503,5.1,0.51
1973 (Jones),SAO 78508,5.5,0.40
1973 (Jones),SAO 78507,5.6,0.18
1973 (Jones),SAO 78557,5.6,0.24
1973 (Jones),SAO 78596,5.6,0.46
1973 (Jones),SAO 78696,5.7,0.25
1973 (Jones),SAO 78702,5.8,-0.04
1973 (Jones),SAO 78546,5.9,0.12
1973 (Jones),SAO 78634,6.2,0.56
1973 (Jones),SAO 78707,6.2,0.03
1973 (Jones),SAO 18717,6.7,0.08
1973 (Jones),SAO 78467,6.9,0.35
1973 (Jones),SAO 78697,7.0,0.34
1973 (Jones),SAO 78452,7.1,0.17
1973 (Jones),SAO 78529,7.1,0.27
1973 (Jones),SAO 78722,7.1,0.21
1973 (Jones),SAO 78712,7.2,0.06
1973 (Jones),SAO 78542,7.3,0.31
1973 (Jones),SAO 78510,7.5,0.18
1973 (Jones),SAO 78514,7.5,0.31
1973 (Jones),SAO 78445,7.6,0.04
1973 (Jones),SAO 78482,7.6,-0.08
1973 (Jones),SAO 78437,7.8,-0.25
1973 (Jones),SAO 78646,8.0,-0.05
1973 (Jones),SAO 78430,8.3,0.36
1973 (Jones),SAO 78481,8.3,0.33
1973 (Jones),SAO 78742,8.4,0.21
1973 (Jones),SAO 78460,8.5,0.33
1973 (Jones),SAO 78471,8.5,0.44
1973 (Jones),SAO 78758,8.5,0.30
1973 (Jones),SAO 78626,8.6,0.23
1973 (Jones),SAO 78418,8.9,0.25
1973 (Jones),SAO 78534,9.0,0.12
2017 (Bruns),TYC 836-989-1,4.566,0.429
2017 (Bruns),TYC 833-1316-1,3.000,0.538
2017 (Bruns),TYC 836-820-1,3.058,0.584
2017 (Bruns),TYC 836-577-1,4.522,0.300
2017 (Bruns),TYC 835-559-1,4.817,0.306
2017 (Bruns),TYC 836-954-1,3.802,0.550
2017 (Bruns),TYC 835-832-1,3.760,0.361
2017 (Bruns),TYC 836-722-1,3.168,0.595
2017 (Bruns),TYC 836-813-1,3.828,0.356
2017 (Bruns),TYC 835-585-1,3.694,0.557
2017 (Bruns),TYC 836-339-1,3.649,0.509
2017 (Bruns),TYC 835-750-1,3.676,0.483
2017 (Bruns),TYC 832-734-1,2.446,0.654
2017 (Bruns),TYC 832-246-1,2.694,0.650
2017 (Bruns),TYC 836-1136-1,3.306,0.504
2017 (Bruns),TYC 832-663-1,3.395,0.508
2017 (Bruns),TYC 836-444-1,2.433,0.757
2017 (Bruns),TYC 836-948-1,3.555,0.353
2017 (Bruns),TYC 832-142-1,1.513,1.312
2017 (Bruns),TYC 833-1307-1,1.603,1.094
